License Number,License Type,Legal Business Name,D.B.A. (Doing Business As),Business Type,Medical Cannabis Retail,Social Equity Classified,Retail Site Address,Site Contact,Email,Local Authority,City,County,Site License Issued Date,License Expiration Date
MICRO-L25-001284,Microbusiness,CannaJoy LLC,CannaJoyMN,Retail,No,No,"4753 Chicago Avenue S, Minneapolis, MN 55407",Erin Walloch,Erin@cannajoymn.com,City of Minneapolis,Minneapolis,Hennepin,4/1/2026,3/3/2027
TRN-L25-000018,Transporter,We Wholesale LLC,Unwind Distribution,Transporter,N/A,No,N/A,Luke Simon,luke@wewholesalemn.com,City of Moorhead,Moorhead,Clay,3/31/2026,3/31/2027
WHLS-L25-000011,Wholesaler,We Wholesale LLC,Unwind Distribution,Wholesaler,N/A,No,N/A,Luke Simon,luke@wewholesalemn.com,City of Moorhead,Moorhead,Clay,3/31/2026,3/31/2027
MICRO-L24-000211,Microbusiness,Doctor Dabs Corporation,Dabney's Cannabis Co.,Cultivation,N/A,Yes,N/A,Clemon Dabney,dabne003@gmail.com,Houston County,Spring Grove,Houston,3/30/2026,3/30/2027
MICRO-L24-000250,Microbusiness,Suprize Valley Cannabis LLC,Suprize Valley Cannabis LLC,Cultivation,N/A,Yes,N/A,Brian Midtling,brian.midtling@suprizevalleycannabis.com,McLeod County,Brownton,McLeod,3/30/2026,3/30/2027
WHLS-L25-000009,Wholesaler,Moonlight MN LLC,Moonlight MN LLC,Wholesaler,N/A,No,N/A,Carter Mann,carter@moonlightmn.com,City of Plymouth,Plymouth,Hennepin,3/29/2026,3/29/2027
DIS-L25-000120,Retail,"Ember Roots, LLC",Silver Therapeutics Cannabis Company,Retail,Yes,No,"1778 Greeley Street S, Stillwater, MN 55082",Josh Silver,"emberrootsllcMN@proton.me
josh@agtherapeutics.com",City of Stillwater,Stillwater,Washington,3/27/2026,3/27/2027
MICRO-L25-000343,Microbusiness,House of Selection LLC,House of Selection LLC,Cultivation,N/A,No,N/A,Joshua Rutherford,dutch.earl@gmail.com,Chisago County,Lindstrom,Chisago,3/27/2026,3/27/2027
WHLS-L25-000033,Wholesaler,P&J Distribution LLC,P&J Distribution LLC,Wholesaler,N/A,No,N/A,Jacquelyn Jorgenson,jacqui.jorgenson@gmail.com,City of Fridley,Fridley,Anoka,3/27/2026,3/27/2027
TF-L25-000014,Testing Facility,True North Analytics LLC,True North Analytics LLC,Testing Facility,N/A,No,N/A,Stephanie Fettig-Scholl,stephanie@elementlaboratories.com,City of Roseville,Roseville,Ramsey,3/26/2026,3/26/2027
MICRO-L25-000373,Microbusiness,Ann's Cannabis Cottage,Ann's Cannabis Cottage,Cultivation,N/A,No,N/A,Michael Leas,mleas79@gmail.com,Hubbard County,Bemidji,Hubbard,3/25/2026,3/25/2027
MICRO-L25-000411,Microbusiness,Alhaliq & Co. LLC,Green Rose,Retail,No,No,"514 E 60th Street, Minneapolis, MN 55419",Brianna Alhaliq,brianna.lynn.person@gmail.com,City of Minneapolis,Minneapolis,Hennepin,3/25/2026,3/25/2027
MICRO-L24-000181,Microbusiness,Hidden Gardens Micro,Hidden Gardens Micro,Retail,No,Yes,"24000 US Highway 218, Austin, MN 55912",Michael Attleson,hiddengardens2023@gmail.com,Mower County,Austin,Mower,3/24/2026,3/24/2027
MEZZO-L24-000260,Mezzobusiness,JDMN Holdings LLC,No Coast Wellness,Manufacturing,N/A,Yes,N/A,Joshua Dotson,dotsonjusmc@gmail.com,City of Saint Paul,Saint Paul,Ramsey,3/23/2026,3/23/2027
MICRO-L25-000679,Microbusiness,502 Main Company LLC,Lake Daze,Retail,Yes,No,"502 Mainstreet, Hopkins, MN 55343",Tracy Ashley,tashley594@aol.com,City of Hopkins,Hopkins,Hennepin,3/20/2026,3/20/2027
MICRO-L25-000396,Microbusiness,Matchbox Farms MN LLC,Matchbox Farms MN LLC,Cultivation/Manufacturing,N/A,Yes,N/A,Christopher Gracia Sr,cginbend@icloud.com,City of Oronoco,Oronoco,Olmsted,3/18/2026,7/24/2027
MICRO-L25-000615,Microbusiness,URBgreen LLC,URBAN GREEN Dispensary,Retail,No,No,"9326 N Zane Avenue, Brooklyn Park, MN 55443",Mashal Almashal,"HossamH@urbangreenmn.com
mashal.m@live.com",City of Brooklyn Park,Brooklyn Park,Hennepin,3/18/2026,3/18/2027
MICRO-L25-001208,Microbusiness,Rosebuds Cannabis Company LLC,Rosebuds Cannabis Company LLC,Cultivation,N/A,No,N/A,Katrina Thompson,"stevedrosenfeldt@gmail.com
greenco.mn@gmail.com",City of Moorhead,Moorhead,Clay,3/17/2026,1/16/2027
MICRO-L25-001251,Microbusiness,ABC Cannabis Co. LLP,ABC Cannabis Co. LLP,Retail/Manufacturing,No,Yes,"1124 E 3rd Avenue, Alexandria, MN 56308",Camille Hess-Norris,"ruckheim@hotmail.com
camillenorrisnb@GMAIL.COM",City of Alexandria,Alexandria,Douglas,3/17/2026,3/17/2027
DIS-L25-000070,Retail,Kodjo's Dispensary,Kodjo's Dispensary,Retail,No,No,"446 W University Avenue, Saint Paul, MN 55103",Kodjo Alagbo,unidollar@hotmail.com,City of Saint Paul,Saint Paul,Ramsey,3/11/2026,3/11/2027
MICRO-L25-000909,Microbusiness,Lake Star LLC,Zota Gardens,Cultivation,N/A,No,N/A,Gabriel Basham,"lancegomez09@gmail.com
gabe@zotagardens.com",City of Saint Paul,Saint Paul,Ramsey,3/11/2026,3/11/2027
MICRO-L25-001211,Microbusiness,Cuyuna Company LLC,Cuyuna Cannabis,Retail,No,No,"2 E Main Street, Crosby, MN 56441",Mark Hendrickson,mark@cuyunacannabis.com,City of Crosby,Crosby,Crow Wing,3/11/2026,3/11/2027
MICRO-L25-000658,Microbusiness,Summit North Cannabis LLC,Dinky Dope Dispensary,Retail,No,No,"1319 SE 4th Street, Minneapolis, MN 55414",Heidi Sakallah,heidi@sakallahgroup.com,City of Minneapolis,Minneapolis,Hennepin,3/10/2026,3/10/2027
MICRO-L25-001246,Microbusiness,Grazzhopper LLC,Grazzhopper LLC,Retail,No,No,"16484 SE 149th Street, Big Lake, MN 55309",William Shocinski,info@grazzhopper.com,Sherburne County,Big Lake,Sherburne,3/9/2026,3/9/2027
MICRO-L24-000547,Microbusiness,Headset Headquarters Inc,Midway Cannabis,Retail,No,Yes,"1607 W University Avenue, Saint Paul, MN 55104",Siarra Holden,Siarra@themedspawoodbury.com,City of Saint Paul,Saint Paul,Ramsey,3/6/2026,3/6/2027
MICRO-L25-001284,Microbusiness,CannaJoy LLC,CannaJoyMN,Cultivation,N/A,No,N/A,Erin Walloch,Erin@cannajoymn.com,Pine County,Denham,Pine,3/3/2026,3/3/2027
MICRO-L25-001411,Microbusiness,Feelin MN LLC,Feelin MN LLC,Retail/Manufacturing,No,No,"75 W Little Canada Road, Little Canada, MN 55117",John DeRosa,asphaltrepairteam4422@gmail.com,City of Little Canada,Little Canada,Ramsey,3/3/2026,3/3/2027
DIS-L25-000016,Retail,Black Bear Wellness MN LLC,Black Bear Dispensary,Retail,Yes,Yes,"104 E 4th Street, Winona, MN 55987",Nathan Kanya,"jesse@blackbeardispensary.com
nate@blackbeardispensary.com",City of Winona,Winona,Winona,3/2/2026,3/2/2027
MICRO-L25-000656,Microbusiness,Deep Roots LLC,Deep Roots LLC,Retail,No,No,"250 N Medina Street, Loretto, MN 55357",Sara Teresi,"brianteresi@gmail.com
sara@deeprootscannabismn.com",Hennepin County,Loretto,Hennepin,2/26/2026,2/26/2027
MICRO-L25-001203,Microbusiness,Green Duck Group LLC,Green Duck Dispensary,Retail,No,No,"3390 Coachman Road, Suite# 210 Eagan, MN 55121",Ira Mitchell,ira@greenduckgo.com,City of Eagan,Eagan,Dakota,2/26/2026,2/26/2027
TRN-L24-000010,Transporter,Green Haven Logistics Incorporated,Green Haven Logistics Incorporated,Transporter,N/A,Yes,N/A,Chad Olsen,"chad@greenhavenlogistics.com
Chad@GHL.Delivery",City of Plymouth,Plymouth,Hennepin,2/24/2026,2/24/2027
MICRO-L24-000027,Microbusiness,Cowboy Cannabis Company,Cowboy Cannabis Company,Cultivation,N/A,Yes,N/A,Jonathan Giberson Jr,cowboycannabiscompany2024@gmail.com,Cass County,Motley,Cass,2/23/2026,2/23/2027
MEZZO-L24-000055,Mezzobusiness,Northern Illusion LLC,Greenleaf Meadow,Retail/Cultivation,Yes,Yes,"1982 Rainbow Street, Mora, MN 55051",Shekhar Nepal,snepal67@icloud.com,Comfort Township,Mora,Kanabec,2/19/2026,2/19/2027
MEZZO-L24-000185,Mezzobusiness,Gopher State Ganja LLC,MN Roots Alexandria Dispensary,Retail,Yes,Yes,"209 Nokomis Street, Alexandria, MN 56308",Billy Parker,bjparker2024@outlook.com,City of Alexandria,Alexandria,Douglas,2/19/2026,2/19/2027
TRN-L25-000033,Transporter,Mystic Sunshine Ventures LLC,MN Canna Transport,Transporter,N/A,No,N/A,Brant Kapple,brant@myappmgmt.com,City of Bloomington,Bloomington,Hennepin,2/19/2026,2/19/2027
DIS-L25-000045,Retail,SARCASTIC AF LLC,Pot Mamas,Retail,No,Yes,"4528 S France Avenue, Edina, MN 55410",Erin Pash,"shaynaa13@gmail.com
erin@pot-mamas.com",City of Edina,Edina,Hennepin,2/17/2026,12/26/2026
MEZZO-L24-000140,Mezzobusiness,"Bella Blami, LLC",Verist Fields,Retail,No,Yes,"911 W 50th Street, Minneapolis, MN 55419",Stefan Egan,segan@bellablami.com,City of Minneapolis,Minneapolis,Hennepin,2/17/2026,12/11/2026
MICRO-L25-001511,Microbusiness,Rosemont Greens L.L.C.,Sun Leaf Greens,Retail,No,No,"12019 N Business Park Boulevard, Champlin, MN 55316",Mohammad Mustafa,mustafatalalmn@gmail.com,City of Champlin,Champlin,Hennepin,2/17/2026,2/17/2027
MEZZO-L24-000300,Mezzobusiness,"Swerve Farms, LLC",MnLooN,Retail,No,Yes,"608 S Snelling Avenue, Saint Paul, MN 55116",Christopher Wenzel,SwerveBeverages@gmail.com,City of Saint Paul,Saint Paul,Ramsey,2/10/2026,2/10/2027
DEL-L24-000051,Delivery Service,Farmers Marketing Services LLC,Farmer's Cannabis Company,Delivery Service,N/A,Yes,N/A,Kaleb Farmer,"michael.farmer.r@gmail.com
Kalebfarmer33@gmail.com",City of Aitkin,Aitkin,Aitkin,2/9/2026,2/9/2027
DIS-L25-000106,Retail,Farmers Marketing Services LLC,Farmer's Cannabis Company,Retail,No,Yes,"124 N Minnesota Avenue, Aitkin, MN 56431",Kaleb Farmer,Kalebfarmer33@gmail.com,City of Aitkin,Aitkin,Aitkin,2/9/2026,2/9/2027
MFR-L25-000035,Manufacturer,canna social LLC,BSD Labs,Manufacturing,N/A,Yes,N/A,Mathew Little,mathew.little83@gmail.com,City of Waseca,Waseca,Waseca,2/6/2026,2/6/2027
DIS-L24-000396,Retail,Northcare Wellness L.L.C.,MN THC Co,Retail,No,Yes,"396 Schilling Drive, Suite# 300 Dundas, MN 55019",Abbey Johnson,abbey@mnthc.co,City of Dundas,Dundas,Rice,2/5/2026,12/23/2026
MICRO-L25-001470,Microbusiness,Cabin Fever Co.,Cabin Fever Cannabis,Cultivation,N/A,No,N/A,Trenton Beyer,infobnv@proton.me,Cass County,Walker,Cass,2/5/2026,2/5/2027
MICRO-L25-000638,Microbusiness,Hempire LLC,Hempire LLC,Retail,No,No,"3135 NW Superior Drive, Suite# B Rochester, MN 55901",Shelly Buchanan,slbuchananrn@gmail.com,Olmsted County,Rochester,Olmsted,2/4/2026,2/4/2027
MICRO-L25-001232,Microbusiness,Agriculture Consulting and Design,Tasty Gems,Manufacturing,N/A,No,N/A,Michael Erickson,Agconsulting.design@gmail.com,Otter Tail County,Fergus Falls,Otter Tail,2/4/2026,2/4/2027
MEZZO-L24-000296,Mezzobusiness,Redux Cannabis LLC,High 10 Dispensary,Retail,No,Yes,"6111 NW Highway 10, Unit# 500 Ramsey, MN 55303",Michael Donnelly,reduxcannabis@gmail.com,City of Ramsey,Ramsey,Anoka,2/2/2026,2/2/2027
MICRO-L25-000556,Microbusiness,Midwest Craft Cannabis LLC,Midwest Craft Cannabis LLC,Cultivation,N/A,No,N/A,Dustin Schultze,schultze@live.com,Martin County,Welcome,Martin,1/29/2026,1/29/2027
MICRO-L25-000574,Microbusiness,Serene Acres Dispensary Inc,Pipestone Recreational Dispensary,Retail,No,Yes,"112 W Main Street, Pipestone, MN 56164",Samual Pfeifle,spfeifle@eastriverfarms.com,City of Pipstone,Pipestone,Pipestone,1/28/2026,1/28/2027
MICRO-L25-000608,Microbusiness,Unwind MN LLC,Unwind MN LLC,Retail,No,No,"3505 S 8th Street, Moorhead, MN 56560",Theresa Sorenson,theresa@unwindmoorhead.com,City of Moorhead,Moorhead,Clay,1/28/2026,1/28/2027
MICRO-L25-000559,Microbusiness,The Flower Shop MN LLC,The Flower Shop MN LLC,Retail,No,No,"706 S Kniss Avenue, Luverne, MN 56156",Peter Dikun,dikunpeter@gmail.com,City of Luverne,Luverne,Rock,1/27/2026,1/27/2027
MICRO-L25-001581,Microbusiness,Lakota Leaf,Beezwax of Moorhead,Retail,No,No,"423 S Main Avenue, Moorhead, MN 56560",Samer Waz,samerwaz2002@gmail.com,City of Moorhead,Moorhead,Clay,1/27/2026,1/27/2027
MEZZO-L24-000173,Mezzobusiness,Legit Cannabis LLC,Legit Cannabis LLC,Retail,No,Yes,"120 W Superior Street, Duluth, MN 55802",Wael Sakallah,sakallahw@yahoo.com,City of Duluth,Duluth,Saint Louis,1/21/2026,9/17/2027
MICRO-L25-000569,Microbusiness,FLIPSIDE LLC,Flipside Dispensary and Music,Retail,No,No,"901 W 36th Street, Minneapolis, MN 55408",Joshua Fellman,josh@flipsidemn.com,City of Minneapolis,Minneapolis,Hennepin,1/20/2026,1/20/2027
TRN-L24-000006,Transporter,GreenLife MN INC.,GreenLife MN INC.,Transporter,N/A,Yes,N/A,Anthony Adza,Tony@GreenLifeBiotics.com,City of Saint Louis Park,Saint Louis Park,Hennepin,1/19/2026,1/19/2027
DEL-L25-000012,Delivery Service,Moonlight MN LLC,Moonlight MN LLC,Delivery Service,N/A,No,N/A,Carter Mann,carter@moonlightmn.com,City of Plymouth,Plymouth,Hennepin,1/16/2026,1/16/2027
MICRO-L24-000160,Microbusiness,White Rabbit,White Rabbit,Cultivation,N/A,Yes,N/A,Terry Halvorson,terry_halvorson@hotmail.com,Norman County,Hendrum,Norman,1/16/2026,1/16/2027
MICRO-L25-001007,Microbusiness,Malleus LLC,canna corners,Retail,No,No,"321 N Main Avenue, Thief River Falls, MN 56702",Casey Hammer,"casey@malleus.cc
casey@cannacorners.com",City of Thief River Falls,Thief River Falls,Pennington,1/16/2026,1/16/2027
MICRO-L25-001208,Microbusiness,Rosebuds Cannabis Company LLC,Rosebuds Cannabis Company LLC,Retail,No,No,"2223 E Highway 10, Unit# A Moorhead, MN 56560",Steven Rosenfeldt,stevedrosenfeldt@gmail.com,City of Moorhead,Moorhead,Clay,1/16/2026,1/16/2027
TRN-L25-000016,Transporter,Moonlight MN LLC,Moonlight MN LLC,Transporter,N/A,No,N/A,Carter Mann,carter@moonlightmn.com,City of Plymouth,Plymouth,Hennepin,1/16/2026,1/16/2027
MICRO-L24-000496,Microbusiness,Knocked Out Genetics LLC,Knocked Out Genetics LLC,Cultivation,N/A,Yes,N/A,Chad Kranebell,kranebell@gmail.com,Olmsted County,Rochester,Olmsted,1/15/2026,1/15/2027
MICRO-L25-000686,Microbusiness,Southfarthing Cultivation LLC,Southfarthing Cultivation LLC,Cultivation,N/A,No,N/A,Zachary Gockenbach Cole,oskeycole@gmail.com,May Township,Stillwater,Washington,1/15/2026,1/15/2027
MICRO-L25-000500,Microbusiness,MJIII LLC,North Shore Dispensary,Retail,No,No,"2033 W Superior Street, Duluth, MN 55806",Kevin Lund,"john.bordeniii@gmail.com
kltpec@aol.com",City of Duluth,Duluth,Saint Louis,1/13/2026,1/13/2027
MICRO-L25-000800,Microbusiness,Midway popcorn candy and ice cream Limited Liability Company,Potshotz mn,Retail,No,No,"1549 W University Avenue, Suite# East Saint Paul, MN 55104",David Tolchiner,davidtolchiner@gmail.com,City of Saint Paul,Saint Paul,Ramsey,1/13/2026,1/13/2027
MICRO-L25-000846,Microbusiness,Blue Flower Elegance LLC,Minnesota Canna,Retail,Yes,Yes,"5125 Edina Industrial Boulevard, Edina, MN 55439",Lillian Bruner,lillian@myappmgmt.com,City of Edina,Edina,Hennepin,1/12/2026,1/12/2027
MICRO-L25-000659,Microbusiness,"Bemidji Lake Girl, Inc.",Coconut Cannabis,Retail,No,No,"13371 NW Irvine Avenue, Suite# 1 Bemidji, MN 56601",Janelle Hill,bemidjilakegirl@gmail.com,Beltrami County,Bemidji,Beltrami,1/9/2026,1/9/2027
DIS-L25-000046,Retail,City of Anoka,Anoka Cannabis Company,Retail,No,No,"839 East River Road, Anoka, MN 55303",Kevin Morelli,"glee@ci.anoka.mn.us
 kmorelli@ci.anoka.mn.us",City of Anoka,Anoka,Anoka,1/8/2026,1/8/2027
MICRO-L24-000026,Microbusiness,Classified Crops LLC,Classified Crops LLC,Cultivation/Manufacturing,N/A,Yes,N/A,Nicholas Borene,"bdolla060@gmail.com
Classifiedcrops@gmail.com",Sherburne County,Zimmerman,Sherburne,1/8/2026,1/8/2027
MICRO-L25-000630,Microbusiness,Fort Road Cannabis LLC,Fort Road Cannabis,Retail,No,No,"899 Randolph Avenue, Saint Paul, MN 55102",Thomas Guest,"fortroadcannabis@gmail.com
trevor.guest.651@gmail.com",City of Saint Paul,Saint Paul,Ramsey,1/8/2026,1/8/2027
MICRO-L24-000232,Microbusiness,J&B Living LLC,Healing Harvest,Manufacturing,N/A,Yes,N/A,Brittany Brown,bbrown@healingharvestmn.com,City of Saint Peter,Saint Peter,Nicollet,12/31/2025,12/31/2027
MICRO-L24-000557,Microbusiness,"Laketown Farms,LLC","Laketown Farms, LLC",Cultivation/Manufacturing,N/A,Yes,N/A,Charles Levine,charles@hempacresusa.com,Carver County,Waconia,Carver,12/31/2025,12/31/2026
MICRO-L25-000366,Microbusiness,Faribo Green LLC,Dizgo Collective,Cultivation/Manufacturing,N/A,No,N/A,Jennifer Miller,"jenny@dizgoco.com
ben@ctcreek.com",City of Faribault,Faribault,Rice,12/29/2025,12/29/2026
DIS-L25-000045,Retail,SARCASTIC AF LLC,Pot Mamas,Retail,No,Yes,"1155 Centre Pointe Drive, Suite# 6 Mendota Heights, MN 55120",Erin Pash,"shaynaa13@gmail.com
erin@pot-mamas.com",City of Mendota Heights,Mendota Heights,Dakota,12/26/2025,12/26/2026
MICRO-L24-000031,Microbusiness,Cannabis Co. LLC,The Cannabis Co.,Retail,Yes,Yes,"12246 NE 42nd Street, Saint Michael, MN 55376",Cory Johannes,coryjohannes25@gmail.com,City of Saint Michael,Saint Michael,Wright,12/24/2025,12/24/2026
MICRO-L24-000422,Microbusiness,Unanimous Cannabis Co-op LLC,Unanimous Cannabis,Retail,No,Yes,"2835 S Hennepin Avenue, Suite# C Minneapolis, MN 55408",Joshua Bruns,minneapoliscooperative@gmail.com,City of Minneapolis,Minneapolis,Hennepin,12/24/2025,12/24/2026
DIS-L24-000396,Retail,Northcare Wellness L.L.C.,MN THC Co,Retail,No,Yes,"16085 Buck Hill Road, Lakeville, MN 55019",Abbey Johnson,abbey@mnthc.co,City of Lakeville,Lakeville,Dakota,12/23/2025,12/23/2026
MICRO-L25-000584,Microbusiness,5D Dispensary LLC,5D Dispensary LLC,Retail,No,No,"18447 NE Highway 65, Suite# B Cedar, MN 55011",Brittney Yares,5dwellnessmn@gmail.com,City of East Bethel,Cedar,Anoka,12/23/2025,12/23/2026
MICRO-L25-000412,Microbusiness,Danna Enterprises LLC,The Stash & Co,Cultivation,N/A,No,N/A,Dan Westman,thestashnco@gmail.com,City of Harris,Harris,Chisago,12/22/2025,12/22/2027
MICRO-L25-000761,Microbusiness,MHA Alchemy Corp,Zenith Horizon,Retail,No,No,"110 W Main Street, Unit# B Le Roy, MN 55951",Mihaela Algadi,mha.alchemy25@gmail.com,Mower County,Le Roy,Mower,12/18/2025,12/18/2026
MICRO-L25-001531,Microbusiness,the joint L.L.C.,The Lakes Dispensary,Retail,No,No,"1599 E County Road E, White Bear Lake, MN 55110",Maxwell Vannelli,Vannellimax7@gmail.com,City of Gem Lake,White Bear Lake,Ramsey,12/18/2025,12/18/2026
MICRO-L24-000263,Microbusiness,R and D Pharm LLC,R and D Pharm LLC,Cultivation,N/A,Yes,N/A,Jarod Anderson,andersonjarod775@gmail.com,City of Lino Lakes,Lino Lakes,Anoka,12/17/2025,12/17/2026
MICRO-L25-000399,Microbusiness,The Grass Station LLC,The Grass Station LLC,Retail,No,No,"103 W Main Street, Unit# 103 Belle Plaine, MN 56011",Stephen Cappetto,stephen@thegrassstationmn.com,City of Belle Plaine,Belle Plaine,Scott,12/17/2025,12/17/2026
MICRO-L25-000533,Microbusiness,Vibes Corp,Vibes,Retail,No,Yes,"1080 W County Road E, Shoreview, MN 55126",Cory Morrison,farcor2022@gmail.com,City of Shoreview,Shoreview,Ramsey,12/17/2025,12/17/2026
MICRO-L25-000572,Microbusiness,Northern Crown LLC,Northern Crown Cannabis,Retail,No,Yes,"108 E Main Street, Suite# 400 Isanti, MN 55040",Matthew Van Heel,mcvanheel97@gmail.com,City of Isanti,Isanti,Isanti,12/17/2025,12/17/2026
MICRO-L24-000553,Microbusiness,Anthos LLC,Anthos LLC,Cultivation/Manufacturing,N/A,Yes,N/A,Givon Kumal,gkumal@anthos.earth,Le Sueur County,Elysian,Le Sueur,12/15/2025,12/15/2026
MICRO-L25-001064,Microbusiness,Loon Inc.,MnLooN,Retail,No,No,"2801 S Lyndale Avenue, Minneapolis, MN 55408",Mohammad Al-Hawwari,alhawwarima@gmail.com,City of Minneapolis,Minneapolis,Hennepin,12/15/2025,12/15/2026
MEZZO-L24-000306,Mezzobusiness,Medicine Lake Enterprises Inc.,Legacy Cannabis,Retail,No,Yes,"2930 S Lyndale Avenue, Minneapolis, MN 55408",Josh Wilken-Simon,jwilkensimon01@gmail.com,City of Minneapolis,Minneapolis,Hennepin,12/12/2025,10/28/2026
MEZZO-L24-000140,Mezzobusiness,"Bella Blami, LLC",Verist Fields,Cultivation/Manufacturing,N/A,Yes,N/A,Stefan Egan,segan@bellablami.com,City of Eden Prairie,Eden Prairie,Hennepin,12/11/2025,12/11/2026
MICRO-L24-000293,Microbusiness,Green Box Cannabis LLC,Green Box Cannabis,Cultivation,N/A,Yes,N/A,Fong Lor,fonglor11@hotmail.com,Aitkin County,McGregor,Aitkin,12/11/2025,8/22/2027
MICRO-L24-000216,Microbusiness,Da Spot LLC,Da Spot Dispensary & Wellness,Retail,No,Yes,"2313 W 50th Street, Minneapolis, MN 55410",Anthony Branca,"Bam@daspotcannabis.com
anthony@daspotcannabis.com",City of Minneapolis,Minneapolis,Hennepin,12/8/2025,12/8/2026
MICRO-L25-000517,Microbusiness,Valhalla Industries LLC LLC,Valhalla Cannabis company,Cultivation,N/A,No,N/A,Matthew Henrichs,valhallaindustriesmn@gmail.com,City of Coleraine,Grand Rapids,Itasca,12/8/2025,12/8/2026
WHLS-L24-000004,Wholesaler,GreenLife MN INC.,GreenLife MN INC.,Wholesaler,N/A,Yes,N/A,Anthony Adza,Tony@GreenLifeBiotics.com,City of Saint Louis Park,Saint Louis Park,Hennepin,12/8/2025,12/8/2026
CUL-L24-000017,Cultivator,Kind Bud Inc,Kind Bud Inc,Cultivation,N/A,Yes,N/A,Shaun Tetreault,kindbudminnesota@gmail.com,City of Maple Lake,Maple Lake,Wright,12/5/2025,12/5/2026
MFR-L24-000008,Manufacturer,"City of Gold Botanicals, Inc.",Unbound Cannabis,Manufacturing,N/A,Yes,N/A,Melissa Stopka,"mstopka@enjoyunbound.com
DONNABROWER57@GMAIL.COM",City of Grand Rapids,Grand Rapids,Itasca,12/5/2025,12/5/2026
MICRO-L25-000544,Microbusiness,"HOMETOWN BUDS, LLC LLC","HOMETOWN BUDS, LLC LLC",Retail,No,No,"34212 Highway 371, Suite# 2 Jenkins, MN 56472",Michael Hastings,HometownBuds@libbylawoffice.com,City of Jenkins,Jenkins,Crow Wing,12/5/2025,12/5/2026
MICRO-L25-001295,Microbusiness,DJM Ventures LLC,Altitude Dispensary,Retail,Yes,No,"220 Sandberg Road, Monticello, MN 55362",David Moe,dmoe6773@gmail.com,City of Monticello,Monticello,Wright,12/3/2025,12/3/2026
MICRO-L24-000439,Microbusiness,Cloud Nine Farms LLC,Cloud Nine Farms LLC,Retail,No,Yes,"1425 S 1st Street, Willmar, MN 56201",Angie Richter,accounting@hemponix.com,City of Willmar,Willmar,Kandiyohi,11/26/2025,8/1/2027
MICRO-L25-000358,Microbusiness,Nineteen Pines LLC,Nineteen Pines Cannabis Company,Retail/Cultivation/Manufacturing,No,No,"4323 State Highway 23, Brook Park, MN 55007",Trent Kannenberg,trent.kannenberg@gmail.com,Pine County,Brook Park,Pine,11/26/2025,11/26/2026
MICRO-L25-000444,Microbusiness,"Brick Side Growers, Inc.",4 North,Retail,No,No,"4 N Minnesota Street, New Ulm, MN 56073",Tad Ulrich,"glennhauser03@gmail.com
tad@bricksidegrowers.com",City of New Ulm,New Ulm,Brown,11/26/2025,11/26/2026
MICRO-L25-000916,Microbusiness,Green Cross Corp.,Purple Prince,Cultivation,N/A,No,N/A,Daniel Clark,clarkdaniel605@gmail.com,City of Saint Joseph,Saint Joseph,Stearns,11/26/2025,11/26/2026
MICRO-L25-001137,Microbusiness,The Saint Albans Bay Company LLC,The Saint Albans Bay Company LLC,Cultivation/Manufacturing,N/A,No,N/A,Lance Nelson,lcnelson011@gmail.com,Crow Wing County,Garrison,Crow Wing,11/26/2025,11/26/2026
MICRO-L25-001360,Microbusiness,Hinckley Sales LLC,Hinckley Sales LLC,Retail/Cultivation/Manufacturing,No,Yes,"38812 State Highway 48, Hinckley, MN 55037",Bradley Volkmann,Bradvolkmann1986@yahoo.com,Pine County,Hinckley,Pine,11/26/2025,11/26/2026
MICRO-L24-000244,Microbusiness,Hoffert Enterprises LLC,Green Apple Cannabis,Retail,No,Yes,"73 Minnesota Avenue, Breckenridge, MN 56520",David Hoffert,davidhoffert@gmail.com,City of Breckenridge,Breckenridge,Wilkin,11/25/2025,11/25/2026
TF-L25-000004,Testing Facility,Fina Labs LLC,Fina Analytics,Testing Facility,N/A,No,N/A,Julie Drummer,jdrummer@hickorytech.net,City of Waseca,Waseca,Waseca,11/25/2025,11/25/2026
TRN-L25-000052,Transporter,Going Green Transport LLC,Goint Green Transport LLC,Transporter,N/A,No,N/A,Larissa Eller,service@goinggreentransport.com,City of Burnsville,Burnsville,Dakota,11/25/2025,11/25/2026
TRN-L25-000030,Transporter,Great North Oil Exploration LLC,Boxes,Transporter,N/A,No,N/A,Henry Kelly,"nick@greatnorthoil.com
henry@greatnorthoil.com",City of Saint Paul,Saint Paul,Ramsey,11/21/2025,11/21/2026
WHLS-L25-000019,Wholesaler,Great North Oil Exploration LLC,Boxes,Wholesaler,N/A,No,N/A,Henry Kelly,"nick@greatnorthoil.com
henry@greatnorthoil.com",City of Saint Paul,Saint Paul,Ramsey,11/21/2025,11/21/2026
WHLS-L25-000027,Wholesaler,stayLIT LLC,stayLIT,Wholesaler,N/A,No,N/A,Jacob Berman,"russell@staylitcanna.com
jacob@staylitcanna.com",City of Burnsville,Burnsville,Dakota,11/21/2025,11/21/2026
TRN-L25-000044,Transporter,stayLIT LLC,stayLIT,Transporter,N/A,No,N/A,Jacob Berman,"russell@staylitcanna.com
jacob@staylitcanna.com",City of Burnsville,Burnsville,Dakota,11/19/2025,11/19/2026
